Dia,Titulo,Lugar,Descricao,Audio,Vaca,Latitude,Longitude,,,
Dia 1,Capelinha Manuelzão,Sirga,"Revoada de pássaros, uma sinfonia de passarinhos.",passaredo,1,-17.9655075742649,-45.15898169654133,-17.97281343241402 ,-45.11949217982159,
Dia 2,Pica-pau,Fazenda da Tolda,Um pica-pau dá o ar da graça com seu martelar de bico contínuo. Devagar ocupa a cena. Uma suavidade e mansidão de passarinhos ao fundo.,pica-pau,2,-18.12770845121721 ,-45.09125449384982,-17.9655075742649,-45.15898169654133,
Dia 3,Boiada do junior,A caminho de Andrequicé,"Orquestra de cincerros se aproxima entre os aboios e assobios. Os bois em movimento, os cincerros, os cascos batendo no chão. Os cachorros dão o alarme, latem diferentemente. A boiada segue o curso, no seu passo, portão do curral se abre e fecha.",junior,3,-18.2000,-45.04,,,
Dia 3,O gado e o guaxo,Andrequicé,A conversa em sussurros entrecortadas pelo guaxo.,guaxo,4,-18.239046,-45.010577,,,
Dia 3,Dando nome aos bois,Andrequicé,"As crianças imitam bezerros e galos, conversam, citam os nomes das vacas, dos  bois. Descrevem cor, chamam as vacas. Os assobios, os cincerros tudo se mistura entre os aboios.",nome-aos-bois,5,-18.279046,-44.990577,,,
Dia 4,Burros n'água,Ribeirão do Boi,"Burros atravessam o córrego.  Uma travessia em que o som dá asas a imaginação e assim observamos imageticamente os animais em contanto com o corpo d’água: entram, pulam, mugem, borbulham, fungam, espirram água, se deliciam.",burrosnagua,6,-18.32908728259619 ,-44.97272240601401,,,
Dia 4,As folhas se dedeam,Vereda São José,"Um balé de folhas de palmeira ao sabor do vento, as folhas de buriti se abraçam,  se tocam, se dedeiam . Tucanos, araras, maritacas  passam num voo batido e em gritaria. Voam e revoam. As folhas dançam continuamente, e  as araras conversam, dão recados. O vento sopra suave,discreto como um afago, um afeto",veredas,7,-18.36551009202541,-44.96834769116703,,,
Dia 4,Passarinhos,Fazenda Santa Catarina,"O belo canto da fogo-apagou parece longe e está perto.  Araras, passarinhos, galos e o gado.",sc,8,-18.40967657795252,-44.94552811134417,,,
Dia 5,Galinhas d'angola,Buritizinho,"As galinhas d'angola cantam alto, estridente e repetitivo. ",buritizinho,9,-18.481594,-44.829163,,,
Dia 6,Córrego ,Capivara,"A água flui incessante melodia, como um mantra.",capivara,10,-18.5277877,-44.7867131,,,
Dia 6,Café da manhã,Riacho das Vacas,"O dia amanhece. Os bois e as vacas cheiram, berram e comem. Badalam o cincerro. Mugidos diferentes, cada um tem sua particularidade.   Um galo rouco e as fogo-apagou anunciam a manhã.",gado_come,11,-18.685717,-44.739084,,,
Dia 7,Aboio Sr. Ideal,Meleiros,"O aboio do Sr.Ideal OOOOOh Boi bonito. Com voz impostada , o vaqueiro além do aboio recita versos ritmados, rimados que  revelam desigualdades centenárias: ""No lugar que pedi comida me negaram até café.""",aboio,12,-18.80955,-44.67854,,,
Dia 8,Jumento Guerreiro ,Retiro dos Bravos,"O  jumento Guerreiro, literalmente guerreiro zurra, zurra e zurra.",jumento,13,-18.845395,-44.648772,-18.875395,-44.608772,
Dia 8,Caminho d'água,Córrego da Canabrava,"Os caminhos das águas correm, fluem constantemente. Um movimento constante, um sinal,um lembrete que a própria  vida tem o seu curso.   ",capivara,14,,,-18.8578303,-44.6003374,ribeirao das almas
Dia 9,Pisadinha e fogo apagou,Mascarenhas,"Passaredo: bem-te-vi, fogo-apagou, canarinhos, galos como numa orquestra se contrastam com o som do rádio e do trator.",pisadinha,15,-18.96294,-44.44667 ,-18.94394,-44.39667 ,
Dia 10,Seriema e bezerros,Juvenal,"A rainha do cerrado, seriema, se exibe com seu canto repetitivo
Os bezerros e os quero-quero respondem.",siriema,16,-19.05,-44.40976520096729,,,
Dia 11,Boiada,Cordisburgo,A boiada avança. Os vaqueiros dialogam com os animais através  dos aboios. O gado atravessa o capim alto.  O quero-quero e os bem-te-vi acompanham o movimento enquanto o cachorro late.,todos,17,-19.172,-44.34464,todos,,
Dia 12,Trem,Entrada da Fazenda São Francisco,"A boiada chega ao seu destino.
O apito do trem anuncia que ele vem chegando, chegando, chegando e a locomotiva atravessa.",trem,18,-19.20,-44.296953,,,
Dia 8,Bindoia,Saracura,1993 _ gravações Mônica Meyer,bindoia_saracura,19,-18.8578303,-44.6003374,,,
Dia 11,Bindoia,Entre Taboquinha e São Tomé,1993 _ gravações Mônica Meyer,bindoia_canto,20,-19.250,-44.2767806," -19.123353, -44.320880",,
Dia 1,Bindoia,Capelinha do Manuelzão,1993 _ gravações Mônica Meyer,bindoia_pobre_e_rico,,,,-17.9655075742649,-45.15898169654133,
Dia 4,Bindoia,Chegando a Catatau,1993 _ gravações Mônica Meyer,bindoia_esquece,21,-18.45967657795252,-44.89552811134417,,,
Dia 2,Manuelzão,Saindo da sirga,1993 _ gravações Mônica Meyer,manuelzao,22,-18.0555075742649,-45.12898169654133,,,
Dia 11,Em frente a Taboquinha,São Tomé,"Seriema, fogo-apagou",morro,,,,,povoado são tomé,
,-17.8	-45.2,alinhamento,,,,,,-17.8,-45.2,
,-17.8	-44.2,alinhamento,,,,,,-17.8,-44.2,
,-19.3	-44.2,alinhamento,,,,,,-19.3,-44.2,
,-19.3	-45.2,alinhamento,,,,,,-19.3,-45.2,